SessionID,UserID,Timestamp,Event,ItemID,Cart_State,InteractionType
S0AD9082A,U0033,1772079604,View,I0126,[],
S0AD9082A,U0033,1772079664,Add,I0126,['I0126'],
S0AD9082A,U0033,1772079687,Buy,,['I0126'],
S826BD0FB,U0041,1772316184,View,I0079,[],
S826BD0FB,U0041,1772316220,Add,I0079,['I0079'],
S826BD0FB,U0041,1772316236,Buy,,['I0079'],
S418D16C6,U0056,1772439724,View,I0083,[],
S418D16C6,U0056,1772439744,Add,I0083,['I0083'],
S418D16C6,U0056,1772439773,Buy,,['I0083'],
SB6F3A768,U0134,1772122024,View,I0270,[],
SB6F3A768,U0134,1772122084,Add,I0270,['I0270'],
SB6F3A768,U0134,1772122105,View,I0161,['I0270'],
SB6F3A768,U0134,1772122115,Add,I0161,"['I0270', 'I0161']",
SB6F3A768,U0134,1772122122,View,I0287,"['I0270', 'I0161']",
SB6F3A768,U0134,1772122158,Add,I0287,"['I0270', 'I0161', 'I0287']",
SB6F3A768,U0134,1772122165,Buy,,"['I0270', 'I0161', 'I0287']",
S1E61D9FE,U0040,1772246764,View,I0076,[],
S1E61D9FE,U0040,1772246823,Add,I0076,['I0076'],
S1E61D9FE,U0040,1772246850,Buy,,['I0076'],
SC6D12E39,U0132,1772122984,View,I0066,[],
SC6D12E39,U0132,1772122995,Add,I0066,['I0066'],
SC6D12E39,U0132,1772123021,View,I0201,['I0066'],
SC6D12E39,U0132,1772123034,Add,I0201,"['I0066', 'I0201']",
SC6D12E39,U0132,1772123048,View,I0142,"['I0066', 'I0201']",
SC6D12E39,U0132,1772123068,Add,I0142,"['I0066', 'I0201', 'I0142']",
SC6D12E39,U0132,1772123096,Buy,,"['I0066', 'I0201', 'I0142']",
SF94963FD,U0044,1772115784,View,I0191,[],
SF94963FD,U0044,1772115813,Add,I0191,['I0191'],
SF94963FD,U0044,1772115830,View,I0067,['I0191'],
SF94963FD,U0044,1772115843,Add,I0067,"['I0191', 'I0067']",
SF94963FD,U0044,1772115853,Buy,,"['I0191', 'I0067']",
S9CD87157,U0147,1772359144,View,I0202,[],
S9CD87157,U0147,1772359203,Add,I0202,['I0202'],
S9CD87157,U0147,1772359231,Buy,,['I0202'],
S1AAB4616,U0096,1772200204,View,I0013,[],
S1AAB4616,U0096,1772200260,Add,I0013,['I0013'],
S1AAB4616,U0096,1772200285,View,I0013,['I0013'],
S1AAB4616,U0096,1772200326,Add,I0013,"['I0013', 'I0013']",
S1AAB4616,U0096,1772200337,Buy,,"['I0013', 'I0013']",
S20111E4B,U0165,1772381224,View,I0269,[],
S20111E4B,U0165,1772381260,Add,I0269,['I0269'],
S20111E4B,U0165,1772381271,Buy,,['I0269'],
S20CF9243,U0044,1772450224,View,I0044,[],
S20CF9243,U0044,1772450257,Add,I0044,['I0044'],
S20CF9243,U0044,1772450287,Buy,,['I0044'],
